Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills
Leo,middle,super,good,good,middle
Liam,super,middle,low,middle,good
Neil,super,low,good,middle,good
Wesley,low,good,good,low,middle
Hugo,good,low,low,low,low
Kathy,middle,low,super,middle,good
Emily,low,good,low,good,low
Bob,middle,low,middle,good,low
Lenny,low,good,middle,low,middle
Jeff,middle,low,low,super,super
Nina,low,super,low,middle,middle
Mabel,super,low,super,middle,low
Kristen,middle,low,super,middle,super
Gail,middle,middle,low,good,low
Yasmine,low,low,good,good,low
Tim,super,middle,middle,low,low
Yvonne,low,good,good,good,low
Owen,low,middle,middle,middle,super
Fay,low,low,low,good,low
Jack,low,low,good,low,low
Norm,super,middle,low,middle,super
Duke,low,middle,low,low,middle
Tracy,super,good,good,middle,middle
Rose,super,low,low,low,good
Steve,low,middle,middle,middle,good
Irene,middle,middle,super,good,low
Roger,middle,low,low,middle,good
Sam,middle,middle,low,low,good
Victor,super,low,low,middle,low
Gwen,good,good,low,good,super
Otis,middle,middle,good,low,low
Quinn,good,low,middle,low,low
Ian,middle,middle,super,good,super
Megan,low,low,low,middle,middle
Eve,low,super,low,super,good
Kim,good,good,good,super,low
Xiomara,middle,low,low,low,super
Louis,super,low,low,middle,middle
Leonard,middle,middle,super,low,super
Mindy,super,middle,middle,middle,low
Trevor,middle,middle,good,super,super
Oscar,good,middle,middle,low,low
Pam,middle,super,good,middle,low
Grace,middle,middle,low,middle,low
Upton,low,good,super,super,middle
Avery,good,low,low,good,super
Howard,low,good,low,good,middle
Daisy,super,middle,good,low,low
Dave,low,middle,low,low,low
Ursula,low,middle,low,super,good
Bill,low,low,good,super,low
Vivian,low,low,low,super,middle
Xyla,super,low,good,low,good
Ulrich,low,low,low,middle,super
Katie,middle,low,low,super,low
Preston,low,middle,good,low,super
Queenie,super,low,good,low,good
Gerald,low,middle,low,good,low
Isaac,low,middle,middle,super,low
Nick,low,middle,low,middle,low
Gina,low,middle,middle,middle,good
Alice,good,super,middle,low,good
Arthur,super,low,middle,low,low
Catherine,super,low,super,low,super
Walter,super,low,super,middle,low
Amy,middle,middle,super,super,super
Wilma,middle,middle,low,super,low
Ned,low,middle,good,middle,middle
Vera,middle,low,low,middle,super
Ivy,low,low,low,low,low
Susie,middle,middle,low,low,middle
Tina,middle,super,middle,middle,middle
Daniel,low,low,middle,low,middle
Camille,middle,low,low,middle,low
Rhonda,low,middle,good,low,good
Ron,middle,low,middle,low,middle
Paul,low,low,low,low,low
Olivia,super,middle,low,low,low
Tom,good,good,good,low,low
Quincy,middle,good,low,low,low
Zinnia,low,low,good,good,super
George,middle,good,low,low,low
Ken,low,low,good,low,good
Clara,low,middle,low,super,middle
Mary,middle,super,low,super,low
Quasar,low,low,low,super,middle
Yogi,low,good,middle,super,low
Julian,low,good,low,low,low
Ulysses,middle,low,good,low,super
Ulla,low,good,super,low,middle
Helen,low,middle,super,good,middle
Dexter,low,low,good,low,middle
Carlos,low,low,low,good,low
Xander,low,super,low,good,low
Olive,middle,middle,super,middle,middle
Tabitha,middle,super,middle,middle,low
Ella,good,good,low,low,low
Maureen,low,low,low,low,super
Wanda,middle,low,super,low,low
Angela,super,super,good,low,low
