Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary
Leo,middle,super,good,good,middle,super
Liam,super,middle,low,middle,good,super
Neil,super,low,good,middle,good,super
Wesley,low,good,good,low,middle,good
Hugo,good,low,low,low,low,low
Kathy,middle,low,super,middle,good,super
Emily,low,good,low,good,low,good
Bob,middle,low,middle,good,low,low
Lenny,low,good,middle,low,middle,low
Jeff,middle,low,low,super,super,super
Nina,low,super,low,middle,middle,super
Mabel,super,low,super,middle,low,super
Kristen,middle,low,super,middle,super,super
Gail,middle,middle,low,good,low,low
Yasmine,low,low,good,good,low,good
Tim,super,middle,middle,low,low,super
Yvonne,low,good,good,good,low,good
Owen,low,middle,middle,middle,super,super
Fay,low,low,low,good,low,low
Jack,low,low,good,low,low,low
Norm,super,middle,low,middle,super,super
Duke,low,middle,low,low,middle,low
Tracy,super,good,good,middle,middle,super
Rose,super,low,low,low,good,super
Steve,low,middle,middle,middle,good,middle
Irene,middle,middle,super,good,low,super
Roger,middle,low,low,middle,good,low
Sam,middle,middle,low,low,good,low
Victor,super,low,low,middle,low,super
Gwen,good,good,low,good,super,super
Otis,middle,middle,good,low,low,low
Quinn,good,low,middle,low,low,low
Ian,middle,middle,super,good,super,super
Megan,low,low,low,middle,middle,low
Eve,low,super,low,super,good,super
Kim,good,good,good,super,low,super
Xiomara,middle,low,low,low,super,super
Louis,super,low,low,middle,middle,super
Leonard,middle,middle,super,low,super,super
Mindy,super,middle,middle,middle,low,super
Trevor,middle,middle,good,super,super,super
Oscar,good,middle,middle,low,low,low
Pam,middle,super,good,middle,low,super
Grace,middle,middle,low,middle,low,middle
Upton,low,good,super,super,middle,super
Avery,good,low,low,good,super,super
Howard,low,good,low,good,middle,good
Daisy,super,middle,good,low,low,super
Dave,low,middle,low,low,low,low
Ursula,low,middle,low,super,good,super
Bill,low,low,good,super,low,super
Vivian,low,low,low,super,middle,super
Xyla,super,low,good,low,good,super
Ulrich,low,low,low,middle,super,super
Katie,middle,low,low,super,low,super
Preston,low,middle,good,low,super,super
Queenie,super,low,good,low,good,super
Gerald,low,middle,low,good,low,low
Isaac,low,middle,middle,super,low,super
Nick,low,middle,low,middle,low,low
Gina,low,middle,middle,middle,good,middle
Alice,good,super,middle,low,good,super
Arthur,super,low,middle,low,low,super
Catherine,super,low,super,low,super,super
Walter,super,low,super,middle,low,super
Amy,middle,middle,super,super,super,super
Wilma,middle,middle,low,super,low,super
Ned,low,middle,good,middle,middle,middle
Vera,middle,low,low,middle,super,super
Ivy,low,low,low,low,low,low
Susie,middle,middle,low,low,middle,middle
Tina,middle,super,middle,middle,middle,super
Daniel,low,low,middle,low,middle,low
Camille,middle,low,low,middle,low,low
Rhonda,low,middle,good,low,good,good
Ron,middle,low,middle,low,middle,middle
Paul,low,low,low,low,low,low
Olivia,super,middle,low,low,low,super
Tom,good,good,good,low,low,good
Quincy,middle,good,low,low,low,low
Zinnia,low,low,good,good,super,super
George,middle,good,low,low,low,low
Ken,low,low,good,low,good,good
Clara,low,middle,low,super,middle,super
Mary,middle,super,low,super,low,super
Quasar,low,low,low,super,middle,super
Yogi,low,good,middle,super,low,super
Julian,low,good,low,low,low,low
Ulysses,middle,low,good,low,super,super
Ulla,low,good,super,low,middle,super
Helen,low,middle,super,good,middle,super
Dexter,low,low,good,low,middle,low
Carlos,low,low,low,good,low,low
Xander,low,super,low,good,low,super
Olive,middle,middle,super,middle,middle,super
Tabitha,middle,super,middle,middle,low,super
Ella,good,good,low,low,low,good
Maureen,low,low,low,low,super,super
Wanda,middle,low,super,low,low,super
Angela,super,super,good,low,low,super
