Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary,Evaluation
Leo,middle,super,good,good,middle,super,3.8
Liam,super,middle,low,middle,good,super,3.4
Neil,super,low,good,middle,good,super,3.6
Wesley,low,good,good,low,middle,good,3
Hugo,good,low,low,low,low,low,2.4
Kathy,middle,low,super,middle,good,super,3.4
Emily,low,good,low,good,low,good,2.8
Bob,middle,low,middle,good,low,low,2.8
Lenny,low,good,middle,low,middle,low,2.8
Jeff,middle,low,low,super,super,super,3.4
Nina,low,super,low,middle,middle,super,3
Mabel,super,low,super,middle,low,super,3.4
Kristen,middle,low,super,middle,super,super,3.6
Gail,middle,middle,low,good,low,low,2.8
Yasmine,low,low,good,good,low,good,2.8
Tim,super,middle,middle,low,low,super,3
Yvonne,low,good,good,good,low,good,3.2
Owen,low,middle,middle,middle,super,super,3.2
Fay,low,low,low,good,low,low,2.4
Jack,low,low,good,low,low,low,2.4
Norm,super,middle,low,middle,super,super,3.6
Duke,low,middle,low,low,middle,low,2.4
Tracy,super,good,good,middle,middle,super,3.8
Rose,super,low,low,low,good,super,3
Steve,low,middle,middle,middle,good,middle,3
Irene,middle,middle,super,good,low,super,3.4
Roger,middle,low,low,middle,good,low,2.8
Sam,middle,middle,low,low,good,low,2.8
Victor,super,low,low,middle,low,super,2.8
Gwen,good,good,low,good,super,super,3.8
Otis,middle,middle,good,low,low,low,2.8
Quinn,good,low,middle,low,low,low,2.6
Ian,middle,middle,super,good,super,super,4
Megan,low,low,low,middle,middle,low,2.4
Eve,low,super,low,super,good,super,3.6
Kim,good,good,good,super,low,super,3.8
Xiomara,middle,low,low,low,super,super,2.8
Louis,super,low,low,middle,middle,super,3
Leonard,middle,middle,super,low,super,super,3.6
Mindy,super,middle,middle,middle,low,super,3.2
Trevor,middle,middle,good,super,super,super,4
Oscar,good,middle,middle,low,low,low,2.8
Pam,middle,super,good,middle,low,super,3.4
Grace,middle,middle,low,middle,low,middle,2.6
Upton,low,good,super,super,middle,super,3.8
Avery,good,low,low,good,super,super,3.4
Howard,low,good,low,good,middle,good,3
Daisy,super,middle,good,low,low,super,3.2
Dave,low,middle,low,low,low,low,2.2
Ursula,low,middle,low,super,good,super,3.2
Bill,low,low,good,super,low,super,3
Vivian,low,low,low,super,middle,super,2.8
Xyla,super,low,good,low,good,super,3.4
Ulrich,low,low,low,middle,super,super,2.8
Katie,middle,low,low,super,low,super,2.8
Preston,low,middle,good,low,super,super,3.2
Queenie,super,low,good,low,good,super,3.4
Gerald,low,middle,low,good,low,low,2.6
Isaac,low,middle,middle,super,low,super,3
Nick,low,middle,low,middle,low,low,2.4
Gina,low,middle,middle,middle,good,middle,3
Alice,good,super,middle,low,good,super,3.6
Arthur,super,low,middle,low,low,super,2.8
Catherine,super,low,super,low,super,super,3.8
Walter,super,low,super,middle,low,super,3.4
Amy,middle,middle,super,super,super,super,4.2
Wilma,middle,middle,low,super,low,super,3
Ned,low,middle,good,middle,middle,middle,3
Vera,middle,low,low,middle,super,super,3
Ivy,low,low,low,low,low,low,2
Susie,middle,middle,low,low,middle,middle,2.6
Tina,middle,super,middle,middle,middle,super,3.4
Daniel,low,low,middle,low,middle,low,2.4
Camille,middle,low,low,middle,low,low,2.4
Rhonda,low,middle,good,low,good,good,3
Ron,middle,low,middle,low,middle,middle,2.6
Paul,low,low,low,low,low,low,2
Olivia,super,middle,low,low,low,super,2.8
Tom,good,good,good,low,low,good,3.2
Quincy,middle,good,low,low,low,low,2.6
Zinnia,low,low,good,good,super,super,3.4
George,middle,good,low,low,low,low,2.6
Ken,low,low,good,low,good,good,2.8
Clara,low,middle,low,super,middle,super,3
Mary,middle,super,low,super,low,super,3.4
Quasar,low,low,low,super,middle,super,2.8
Yogi,low,good,middle,super,low,super,3.2
Julian,low,good,low,low,low,low,2.4
Ulysses,middle,low,good,low,super,super,3.2
Ulla,low,good,super,low,middle,super,3.2
Helen,low,middle,super,good,middle,super,3.4
Dexter,low,low,good,low,middle,low,2.6
Carlos,low,low,low,good,low,low,2.4
Xander,low,super,low,good,low,super,3
Olive,middle,middle,super,middle,middle,super,3.4
Tabitha,middle,super,middle,middle,low,super,3.2
Ella,good,good,low,low,low,good,2.8
Maureen,low,low,low,low,super,super,2.6
Wanda,middle,low,super,low,low,super,2.8
Angela,super,super,good,low,low,super,3.6
